title,author,venue_name,publish_date,url,code,crawl_timestamp
Federated Learning-Based Semi-Supervised IDS for Medical IoT,"Muller, Guillaume","<ul><li><span style=""color:#FF5733;"">HAL (Le Centre pour la Communication Scientifique Directe)</span></li></ul>","<li><span style=""color:#FF5733;"">2026-03-05</span></li>","<ul><li><a href=""https://hal.science/hal-05424047"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-12-29 12:16:11
New Approaches of eXplainable AI: From Video Analytics to Federated Learning,"SAMANDARI, AHMAD","<ul><li><span style=""color:#FF5733;"">OpenAlex</span></li></ul>","<li><span style=""color:#FF5733;"">2026-02-01</span></li>","<ul><li><a href=""https://hdl.handle.net/11567/1271976"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-12-18 19:15:30
A Scalable Federated Learning Architecture for Privacy-Preserving Financial Data Processing,"Praveen Kumar Reddy Gouni, Mohammed Abdul Faheem","<ul><li><span style=""color:#FF5733;"">IARJSET</span></li></ul>","<li><span style=""color:#FF5733;"">2026-01-05</span></li>","<ul><li><a href=""https://doi.org/10.17148/iarjset.2025.121261"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2026-01-08 16:44:09
A Secure Federated Learning Algorithm for Emotion Recognition Towards Multimodal Speaker Signals on the Client Side,"Xin Wang, Lijun Qiao, Guangxin Dai, Quanping Chen, Yan Zhang, Wensong Li","<ul><li><span style=""color:#FF5733;"">Journal of Computer Signal and System Research</span></li></ul>","<li><span style=""color:#FF5733;"">2026-01-05</span></li>","<ul><li><a href=""https://doi.org/10.71222/gqqywa40"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2026-01-08 16:44:09
Asynchronous federated learning for web-based OCT image analysis,"Hasan Md Tusfiqur Alam, Tim Maurer, Abdulrahman Mohamed Selim, Matthias Eiletz, Michael Barz, Daniel Sonntag","<ul><li><span style=""color:#FF5733;"">Journal of Medical Imaging</span></li></ul>","<li><span style=""color:#FF5733;"">2026-01-05</span></li>","<ul><li><a href=""https://doi.org/10.1117/1.jmi.13.1.014501"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2026-01-08 16:44:09
Federated Learning for Malware Detection in Edge devices,"Valerian Rey, Pedro Miguel Sánchez Sánchez, Alberto Huertas Celdrán, Gérôme Bovet, Martin Jaggi","<ul><li><span style=""color:#FF5733;"">Rey, V., S\'anchez, P. M. S., Celdr\'an, A. H., & Bovet, G.
  (2022). Federated learning for malware detection in iot devices. Computer
  Networks, 108693</span></li><li><span style=""color:#3357FF;"">Rey, V., S\'anchez, P. M. S., Celdr\'an, A. H., & Bovet, G.
  (2022). Federated learning for malware detection in iot devices. Computer
  Networks, 108693</span></li></ul>","<li><span style=""color:#FF5733;"">2026-01-05</span></li>","<ul><li><a href=""https://doi.org/10.1016/j.comnet.2021.108693"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li><li><a href=""http://arxiv.org/abs/2104.09994v3"" target=""_blank"" style=""color:#3357FF;"">[arXiv]</a></li></ul>",,2026-01-08 16:44:09
Federated learning with user incentives for enhanced resource consumption forecasting in urban IoT systems,"Mohammed El Hanjri, Amine Abouaomar, Anas Abouaomar, Abdellatif Kobbane","<ul><li><span style=""color:#FF5733;"">Cluster Computing</span></li></ul>","<li><span style=""color:#FF5733;"">2026-01-04</span></li>","<ul><li><a href=""https://doi.org/10.1007/s10586-025-05872-2"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2026-01-08 16:44:09
A Dynamic Multimodal Fusion Neural Network with Self-supervised Federated Learning for Predicting Traffic Conditions,Li YanXing,"<ul><li><span style=""color:#FF5733;"">Zenodo (CERN European Organization for Nuclear Research)</span></li></ul>","<li><span style=""color:#FF5733;"">2026-01-03</span></li>","<ul><li><a href=""https://doi.org/10.5281/zenodo.18136463"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2026-01-08 16:44:09
FedMAB: adaptive multimodal federated learning with multi-armed bandits,"Chaofeng Li, Ruichun Gu, Zhijian Dong","<ul><li><span style=""color:#FF5733;"">Multimedia Systems</span></li></ul>","<li><span style=""color:#FF5733;"">2026-01-03</span></li>","<ul><li><a href=""https://doi.org/10.1007/s00530-025-02115-7"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2026-01-08 16:44:09
FedSME: Spatial Mode Entropy Aware Aggregation for Federated Learning,"Dhaarani Subramanian, Qilian Liang","<ul><li><span style=""color:#FF5733;"">OpenAlex</span></li></ul>","<li><span style=""color:#FF5733;"">2026-01-03</span></li>","<ul><li><a href=""https://doi.org/10.36227/techrxiv.176739864.49833843/v1"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2026-01-08 16:44:09
